ticker,Company_Name,SIC,Industry,Industry_Source,Data_Quality_Score,Data_Quality_Status,Available_SEC_Facts,Possible_SEC_Facts
AAPL,Apple Inc.,3571,Electronic Computers,SEC SIC,100.0,Complete,84,84
ABNB,"Airbnb, Inc.",7340,Services-To Dwellings & Other Buildings,SEC SIC,85.7,Partial,72,84
ADBE,ADOBE INC.,7372,Services-Prepackaged Software,SEC SIC,100.0,Complete,84,84
ADI,ANALOG DEVICES INC,3674,Semiconductors & Related Devices,SEC SIC,96.4,Complete,81,84
ADP,AUTOMATIC DATA PROCESSING INC,7374,Services-Computer Processing & Data Preparation,SEC SIC,100.0,Complete,84,84
ADSK,"Autodesk, Inc.",7372,Services-Prepackaged Software,SEC SIC,100.0,Complete,96,96
AEP,AMERICAN ELECTRIC POWER CO INC,4911,Electric Services,SEC SIC,83.3,Partial,70,84
ALAB,"Astera Labs, Inc.",3674,Semiconductors & Related Devices,SEC SIC,87.5,Partial,42,48
ALNY,"ALNYLAM PHARMACEUTICALS, INC.",2834,Pharmaceutical Preparations,SEC SIC,100.0,Complete,84,84
AMAT,APPLIED MATERIALS INC /DE,3674,Semiconductors & Related Devices,SEC SIC,100.0,Complete,84,84
AMD,ADVANCED MICRO DEVICES INC,3674,Semiconductors & Related Devices,SEC SIC,100.0,Complete,84,84
AMGN,AMGEN INC,2836,"Biological Products, (No Diagnostic Substances)",SEC SIC,100.0,Complete,84,84
AMZN,AMAZON COM INC,5961,Retail-Catalog & Mail-Order Houses,SEC SIC,95.2,Complete,80,84
APP,AppLovin Corp,7370,"Services-Computer Programming, Data Processing, Etc.",SEC SIC,85.7,Partial,72,84
AVGO,Broadcom Inc.,3674,Semiconductors & Related Devices,SEC SIC,100.0,Complete,84,84
AXON,"AXON ENTERPRISE, INC.",3480,"Ordnance & Accessories, (No Vehicles/Guided Missiles)",SEC SIC,79.2,Partial,95,120
BKNG,Booking Holdings Inc.,4700,Transportation Services,SEC SIC,75.0,Partial,63,84
BKR,Baker Hughes Co,3533,Oil & Gas Field Machinery & Equipment,SEC SIC,84.5,Partial,71,84
CDNS,CADENCE DESIGN SYSTEMS INC,7372,Services-Prepackaged Software,SEC SIC,83.3,Partial,70,84
CMCSA,COMCAST CORP,4841,Cable & Other Pay Television Services,SEC SIC,75.0,Partial,63,84
CPRT,COPART INC,5500,Retail-Auto Dealers & Gasoline Stations,SEC SIC,84.5,Partial,71,84
CRWD,"CrowdStrike Holdings, Inc.",7372,Services-Prepackaged Software,SEC SIC,83.3,Partial,80,96
CSCO,"CISCO SYSTEMS, INC.",3576,Computer Communications Equipment,SEC SIC,100.0,Complete,84,84
CTAS,CINTAS CORP,2320,"Men's & Boys' Furnishgs, Work Clothg, & Allied Garments",SEC SIC,100.0,Complete,84,84
DDOG,"Datadog, Inc.",7372,Services-Prepackaged Software,SEC SIC,100.0,Complete,84,84
DLTR,"DOLLAR TREE, INC.",5331,Retail-Variety Stores,SEC SIC,93.8,Complete,90,96
DXCM,DEXCOM INC,3841,Surgical & Medical Instruments & Apparatus,SEC SIC,95.2,Complete,80,84
EA,ELECTRONIC ARTS INC.,7372,Services-Prepackaged Software,SEC SIC,100.0,Complete,96,96
EXC,EXELON CORP,4931,Electric & Other Services Combined,SEC SIC,83.3,Partial,70,84
FANG,"Diamondback Energy, Inc.",1311,Crude Petroleum & Natural Gas,SEC SIC,91.7,Complete,77,84
FAST,FASTENAL CO,5200,"Retail-Building Materials, Hardware, Garden Supply",SEC SIC,100.0,Complete,84,84
FTNT,"Fortinet, Inc.",3577,"Computer Peripheral Equipment, NEC",SEC SIC,100.0,Complete,84,84
GEV,GE Vernova Inc.,3600,Electronic & Other Electrical Equipment (No Computer Equip),SEC SIC,79.2,Partial,38,48
GILD,"GILEAD SCIENCES, INC.",2836,"Biological Products, (No Diagnostic Substances)",SEC SIC,100.0,Complete,84,84
GOOG,Alphabet Inc.,7370,"Services-Computer Programming, Data Processing, Etc.",SEC SIC,96.4,Complete,81,84
GOOGL,Alphabet Inc.,7370,"Services-Computer Programming, Data Processing, Etc.",SEC SIC,96.4,Complete,81,84
HON,HONEYWELL INTERNATIONAL INC,3724,Aircraft Engines & Engine Parts,SEC SIC,96.4,Complete,81,84
IDXX,IDEXX LABORATORIES INC /DE,2835,In Vitro & In Vivo Diagnostic Substances,SEC SIC,91.7,Complete,88,96
