ticker,fiscal_end,reason
ABNB,2020-12-31,"missing SEC facts even for 5-variable fallback: Receivables, CurrentAssets, PPE, TotalAssets"
ABNB,2021-12-31,missing SEC facts even for 5-variable fallback: Receivables
ABNB,2022-12-31,missing SEC facts even for 5-variable fallback: Receivables
ABNB,2023-12-31,missing SEC facts even for 5-variable fallback: Receivables
ABNB,2024-12-31,missing SEC facts even for 5-variable fallback: Receivables
ABNB,2025-12-31,missing SEC facts even for 5-variable fallback: Receivables
AEP,2020-12-31,missing SEC facts even for 5-variable fallback: CostOfRevenue
AEP,2021-12-31,missing SEC facts even for 5-variable fallback: CostOfRevenue
AEP,2022-12-31,missing SEC facts even for 5-variable fallback: CostOfRevenue
AEP,2023-12-31,missing SEC facts even for 5-variable fallback: CostOfRevenue
AEP,2024-12-31,missing SEC facts even for 5-variable fallback: CostOfRevenue
AEP,2025-12-31,missing SEC facts even for 5-variable fallback: CostOfRevenue
ALAB,2023-12-31,"missing SEC facts even for 5-variable fallback: Receivables, CurrentAssets, PPE, TotalAssets"
AMZN,2020-12-31,missing SEC facts even for 5-variable fallback: PPE
AMZN,2021-12-31,missing SEC facts even for 5-variable fallback: PPE
AMZN,2022-12-31,missing SEC facts even for 5-variable fallback: PPE
AMZN,2023-12-31,missing SEC facts even for 5-variable fallback: PPE
AMZN,2024-12-31,missing SEC facts even for 5-variable fallback: PPE
APP,2020-12-31,"missing SEC facts even for 5-variable fallback: Receivables, CurrentAssets, PPE, TotalAssets"
APP,2021-12-31,missing SEC facts even for 5-variable fallback: PPE
APP,2022-12-31,missing SEC facts even for 5-variable fallback: PPE
APP,2023-12-31,missing SEC facts even for 5-variable fallback: PPE
APP,2024-12-31,missing SEC facts even for 5-variable fallback: PPE
APP,2025-12-31,missing SEC facts even for 5-variable fallback: PPE
AXON,2024-03-31,prior annual period is 91 days earlier
AXON,2024-09-30,prior annual period is 183 days earlier
AXON,2024-12-31,prior annual period is 92 days earlier
BKNG,2020-12-31,"missing SEC facts even for 5-variable fallback: Receivables, NetIncome, CostOfRevenue"
BKNG,2021-12-31,"missing SEC facts even for 5-variable fallback: Receivables, NetIncome, CostOfRevenue"
BKNG,2022-12-31,"missing SEC facts even for 5-variable fallback: Receivables, NetIncome, CostOfRevenue"
BKNG,2023-12-31,"missing SEC facts even for 5-variable fallback: Receivables, NetIncome, CostOfRevenue"
BKNG,2024-12-31,"missing SEC facts even for 5-variable fallback: Receivables, NetIncome, CostOfRevenue"
