ticker,fy,fiscal_end,Revenues,CostOfRevenue,NetIncome,Receivables,CurrentAssets,PPE,TotalAssets,Depreciation,SGA,CurrentLiabilities,LongTermDebt,OperatingCashFlow
AAPL,2019,2019-09-28,260174000000.0,161782000000.0,55256000000.0,22926000000.0,162819000000.0,37378000000.0,338516000000.0,12547000000.0,18245000000.0,105718000000.0,91807000000.0,69391000000.0
AAPL,2020,2020-09-26,274515000000.0,169559000000.0,57411000000.0,16120000000.0,143713000000.0,36766000000.0,323888000000.0,11056000000.0,19916000000.0,105392000000.0,98667000000.0,80674000000.0
AAPL,2021,2021-09-25,365817000000.0,212981000000.0,94680000000.0,26278000000.0,134836000000.0,39440000000.0,351002000000.0,11284000000.0,21973000000.0,125481000000.0,109106000000.0,104038000000.0
AAPL,2022,2022-09-24,394328000000.0,223546000000.0,99803000000.0,28184000000.0,135405000000.0,42117000000.0,352755000000.0,11104000000.0,25094000000.0,153982000000.0,98959000000.0,122151000000.0
AAPL,2023,2023-09-30,383285000000.0,214137000000.0,96995000000.0,29508000000.0,143566000000.0,43715000000.0,352583000000.0,11519000000.0,24932000000.0,145308000000.0,95281000000.0,110543000000.0
AAPL,2024,2024-09-28,391035000000.0,210352000000.0,93736000000.0,33410000000.0,152987000000.0,45680000000.0,364980000000.0,11445000000.0,26097000000.0,176392000000.0,85750000000.0,118254000000.0
AAPL,2025,2025-09-27,416161000000.0,220960000000.0,112010000000.0,39777000000.0,147957000000.0,49834000000.0,359241000000.0,11698000000.0,27601000000.0,165631000000.0,78328000000.0,111482000000.0
ABNB,2019,2019-12-31,4805239000.0,1196313000.0,-674339000.0,,,,,57200000.0,697181000.0,,,222727000.0
ABNB,2020,2020-12-31,3378000000.0,876000000.0,-4585000000.0,,8916386000.0,270194000.0,10491499000.0,67200000.0,1135000000.0,5139779000.0,1815562000.0,-740000000.0
ABNB,2021,2021-12-31,5992000000.0,1156000000.0,-352000000.0,,12386000000.0,157000000.0,13708000000.0,85600000.0,836000000.0,6359000000.0,1983000000.0,2313000000.0
ABNB,2022,2022-12-31,8399000000.0,1499000000.0,1893000000.0,,14861000000.0,121000000.0,16038000000.0,42600000.0,950000000.0,7978000000.0,1987000000.0,3430000000.0
ABNB,2023,2023-12-31,9917000000.0,1703000000.0,4792000000.0,,16509000000.0,160000000.0,20645000000.0,18000000.0,2025000000.0,9950000000.0,1991000000.0,3884000000.0
ABNB,2024,2024-12-31,11102000000.0,1878000000.0,2648000000.0,,17180000000.0,147000000.0,20959000000.0,16000000.0,1185000000.0,10161000000.0,1995000000.0,4518000000.0
ABNB,2025,2025-12-31,12241000000.0,2086000000.0,2511000000.0,,18797000000.0,107000000.0,22208000000.0,17000000.0,1342000000.0,13649000000.0,0.0,4646000000.0
ADBE,2019,2019-11-29,11171000000.0,1673000000.0,2951000000.0,1535000000.0,6495000000.0,1293000000.0,20762000000.0,757000000.0,881000000.0,8191000000.0,989000000.0,4422000000.0
ADBE,2020,2020-11-27,12868000000.0,1722000000.0,5260000000.0,1398000000.0,8146000000.0,1517000000.0,24284000000.0,757000000.0,968000000.0,5512000000.0,4117000000.0,5727000000.0
ADBE,2021,2021-12-03,15785000000.0,1865000000.0,4822000000.0,1878000000.0,8669000000.0,1673000000.0,27241000000.0,788000000.0,1085000000.0,6932000000.0,4123000000.0,7230000000.0
ADBE,2022,2022-12-02,17606000000.0,2165000000.0,4756000000.0,2065000000.0,8996000000.0,1908000000.0,27165000000.0,856000000.0,1219000000.0,8128000000.0,3629000000.0,7838000000.0
ADBE,2023,2023-12-01,19409000000.0,2354000000.0,5428000000.0,2224000000.0,11084000000.0,2030000000.0,29779000000.0,872000000.0,1413000000.0,8251000000.0,3634000000.0,7302000000.0
ADBE,2024,2024-11-29,21505000000.0,2358000000.0,5560000000.0,2072000000.0,11232000000.0,1936000000.0,30230000000.0,857000000.0,1529000000.0,10521000000.0,4129000000.0,8056000000.0
ADBE,2025,2025-11-28,23769000000.0,2551000000.0,7130000000.0,2344000000.0,10163000000.0,1873000000.0,29496000000.0,818000000.0,1573000000.0,10200000000.0,6210000000.0,10031000000.0
ADI,2019,2019-11-02,5991065000.0,1977315000.0,1363011000.0,635136000.0,1985126000.0,1219989000.0,21392641000.0,240677000.0,648094000.0,1508632000.0,,2253100000.0
ADI,2020,2020-10-31,5603056000.0,1912578000.0,1220761000.0,737536000.0,2517688000.0,1120561000.0,21468603000.0,233775000.0,659923000.0,1364986000.0,,2008487000.0
ADI,2021,2021-10-30,7318286000.0,2793274000.0,1390422000.0,1459056000.0,5378317000.0,1979051000.0,52322071000.0,231275000.0,915418000.0,2770312000.0,,2735069000.0
ADI,2022,2022-10-29,12013953000.0,4481479000.0,2748561000.0,1800462000.0,4937992000.0,2401304000.0,50302350000.0,283338000.0,1266175000.0,2442655000.0,6548625000.0,4475402000.0
ADI,2023,2023-10-28,12305539000.0,4428321000.0,3314579000.0,1469734000.0,4384022000.0,3219157000.0,48794478000.0,334704000.0,1273584000.0,3200971000.0,5902457000.0,4817634000.0
ADI,2024,2024-11-02,9427157000.0,4045814000.0,1635273000.0,1336331000.0,5484654000.0,3415550000.0,48228277000.0,362771000.0,1068640000.0,2988280000.0,6634313000.0,3852529000.0
ADI,2025,2025-11-01,11019707000.0,4246229000.0,2267342000.0,1436075000.0,7108061000.0,3315696000.0,47992712000.0,406801000.0,1255339000.0,3245801000.0,8145066000.0,4812202000.0
